         1         2         3         4         5         
12345678901234567890123456789012345678901234567890123456789
-----------------------------------------------------------
LABEL           |RA        |Dec        |Mag |C|PMRA |PMDEC|
-----------------------------------------------------------
SAO22787         267.3287500 +1.96111111 6.47K0-0.025+0.065
SAO28490         267.9354166-45.60055555 6.11G6+0.009-0.005
SAO46954         266.7837500+47.61222222 6.43A2-0.004+0.005
SAO03131         267.1995833+19.25527777 6.12A1-0.006+0.022
SAO28489         267.8866666-40.77250000 5.96M2-0.028-0.053
87 Her           267.2050000+25.62277777 5.12K2-0.003-0.039
SAO09357         267.8020833-30.55722222 6.66A0+0.002-0.011
SAO58787         271.3612500-81.48638888 6.35K3+0.018-0.040
SAO09383         268.0566666-34.79916666 5.90B6+0.004-0.004
SAO09390         268.0820833-34.41666666 5.84G8-0.001+0.003
SAO28510         268.2195833-41.99666666 6.20F8+0.154-0.196
SAO03145         267.6812500+11.94666666 6.17K1-0.022-0.024
SAO09397         268.2050000-34.11416666 6.06K1+0.001+0.017
SAO09401         268.2329166-35.01861111 6.45B9+0.015+0.007
SAO09404         268.2412500-35.62416666 6.03F2+0.046-0.047
SAO85464         267.5954166+29.32222222 5.50K1+0.029+0.049
SAO85468         267.7016666+22.31638888 5.98A9+0.014-0.016
30 Dra           267.2679166+50.78111111 5.02A2-0.048+0.211
SAO09411         268.3316666-34.73055555 6.17B8+0.005-0.001
SAO09416         268.3470833-34.89527777 5.60K3-0.009-0.010
SAO41913         267.9979166 -1.23666666 6.35K0-0.002+0.003
SAO09425         268.4395833-34.78583333 6.38B9+0.009-0.003
SAO41926         268.1616666 -6.14361111 6.21F8+0.008-0.009
SAO09428         268.4787500-34.75250000 5.96B9+0.021-0.003
SAO09430         268.4920833-34.83166666 6.42Ap+0.007-0.023
88 Her           267.5137500+48.39416666 6.68Be+0.004+0.012
SAO03161         267.9937500+15.32583333 6.46K0 0.000+0.031
SAO60885         268.2650000-10.89972222 6.18K1+0.055-0.033
SAO22861         268.1475000 +1.30500000 5.95K5-0.047-0.017
SAO09446         268.6133333-34.46638888 5.96B9+0.010+0.006
SAO47009         267.8083333+40.07250000 6.46G0-0.012+0.012
SAO22880         268.3091666 +6.10138888 5.77F3-0.122+0.069
SAO09458         268.7829166-36.47583333 6.06B9-0.014-0.009
SAO85928         268.7250000-24.88722222 6.20O7-0.005-0.001
SAO66402         268.0195833+39.98222222 6.04K4-0.011+0.054
SAO47023         268.0041666+46.64333333 6.38K0+0.039-0.122
SAO28562         269.1975000-44.34222222 4.86K2-0.006-0.017
SAO03194         268.5591666+11.13055555 6.38F5-0.058-0.165
90 Her           268.3254166+40.00805555 5.16K1+0.011+0.053
SAO28564         269.2325000-40.30555555 6.43K3+0.016+0.005
SAO60909         268.9791666-18.80222222 6.52A4+0.016-0.017
SAO85975         269.1745833-28.06527777 5.80A7+0.040-0.017
SAO60915         269.0791666-15.81250000 5.89A1-0.010-0.063
SAO28578         269.4487500-41.71611111 4.88M0-0.015-0.010
SAO09524         269.4908333-39.13694444 6.29A0-0.005-0.039
SAO22935         269.0766666 +0.67027777 5.82B2-0.005+0.003
89 Her           268.8550000+26.05000000 5.46F2+0.004+0.006
SAO41979         269.1987500 -4.08194444 5.47G9-0.012-0.008
SAO85552         268.9616666+22.46416666 5.58K3-0.002+0.002
32Xi Dra         268.3820833+56.87277777 3.75K2+0.094+0.080
SAO22950         269.2679166 +6.63888888 5.97A3+0.028-0.016
SAO22949         269.2333333 +6.48777777 6.29B9+0.026+0.002
SAO09545         269.7316666-36.85833333 5.74G8+0.008+0.013
SAO86025         269.6629166-28.75916666 6.01B3 0.000-0.009
SAO              269.7716666-30.25305555 5.16M1+0.002-0.010
SAO09553         269.7729166-30.25333333 7.04G8-0.020-0.002
91The Her        269.0633333+37.25055555 3.86K1+0.004+0.006
SAO03243         269.3620833+11.04416666 6.36A1-0.017-0.024
SAO85575         269.3095833+23.99583333 6.30G2-0.024+0.076
64Nu Oph         269.7566666 -9.77361111 3.34K0-0.007-0.116
SAO30645         268.8487500+55.97138888 6.10F0+0.037+0.126
4 Sgr            269.9483333-23.81611111 4.76B9+0.001-0.047
35 Dra           267.3625000+76.96277777 5.04F6+0.037+0.248
SAO47080         269.2016666+45.35083333 6.02M5+0.008-0.028
92Xi Her         269.4412500+29.24777777 3.70G8+0.084-0.017
SAO86070         270.0004166-20.33916666 6.21K0+0.005-0.007
33Gam Dra        269.1516666+51.48888888 2.23K5-0.008-0.019
SAO42012         269.9029166 -4.82138888 5.87K5-0.014-0.093
94Nu Her         269.6258333+30.18944444 4.41F2 0.000+0.007
SAO09608         270.4512500-36.37777777 6.30B7-0.007-0.017
SAO23004         270.0645833 +0.62944444 6.37A3-0.006+0.004
57Zet Ser        270.1208333 -3.69027777 4.62F2+0.147-0.045
SAO66531         269.6762500+36.28777777 6.00G5+0.007-0.055
66 Oph           270.0658333 +4.36861111 4.64B2+0.003-0.013
93 Her           270.0141666+16.75083333 4.67K0-0.007-0.010
67 Oph           270.1612500 +2.93166666 3.97B5+0.002-0.008
6 Sgr            270.3462500-17.15694444 6.28K3+0.003-0.005
SAO86135         270.4766666-22.78055555 5.77B0-0.003-0.008
SAO8946          267.5437500+78.30666666 6.24K5+0.018+0.018
SAO47106         269.7179166+45.47611111 6.48B9+0.002+0.027
SAO23017         270.2204166 +6.26833333 6.34B2+0.002-0.008
SAO03291         270.1154166+19.50583333 6.50B8+0.015-0.001
Chi Oct          283.6954166-87.60583333 5.28K3-0.039-0.139
SAO03299         270.2383333+15.09333333 6.26G5-0.059-0.108
68 Oph           270.4383333 +1.30527777 4.45A2+0.015-0.012
7 Sgr            270.7129166-24.28222222 5.34F3+0.005-0.008
34Psi2Dra        268.7966666+72.00500000 5.45F2+0.013-0.001
SAO66551         270.1516666+33.21388888 5.99K6-0.003-0.019
SAO86169         270.7570833-22.71833333 6.74B0+0.003+0.007
SAO47121         269.9841666+45.50138888 5.67M0+0.008-0.025
95 Her           270.3745833+21.59527777 5.18G8+0.011+0.032
95 Her           270.3766666+21.59555555 4.96A5+0.012+0.035
SAO57569         272.8154166-75.89138888 5.86K2+0.010-0.295
SAO42045         270.6929166 -5.35861111 6.76B9+0.011-0.035
69Tau Oph        270.7708333 -8.18027777 5.94F5+0.029-0.037
69Tau Oph        270.7704166 -8.18055555 5.24F2+0.028-0.037
SAO8962          268.6108333+75.17083333 6.36K0-0.013+0.023
9 Sgr            270.9683333-24.36055555 5.97O4+0.002+0.003
SAO66562         270.3995833+33.31138888 6.15K5+0.025+0.023
96 Her           270.5962500+20.83361111 5.28B3+0.005-0.010
SAO09671         271.2100000-35.90138888 6.00K2-0.016-0.035
SAO54141         271.9512500-64.55000000 6.41K2-0.015-0.053
97 Her           270.6254166+22.92305555 6.21B3-0.004-0.008
Gam1Sgr          271.2554166-29.58000000 4.69F4+0.013 0.000
The Ara          271.6579166-50.09166666 3.66B2-0.010-0.014
SAO03334         270.8112500+19.61305555 6.50A0+0.024-0.008
Pi Pav           272.1450000-63.66833333 4.35A7+0.013-0.188
10Gam2Sgr        271.4520833-30.42416666 2.99K0-0.053-0.185
SAO23090         271.1554166 +1.91916666 6.14B0-0.002-0.003
SAO09710         271.5987500-36.01972222 5.95G5+0.110+0.015
SAO28708         271.7075000-43.42472222 5.77A5-0.001-0.099
SAO              271.7075000-43.42472222 5.77A5-0.001-0.099
SAO57571         273.1437500-73.67166666 5.85F5-0.053-0.231
70 Oph           271.3637500 +2.49944444 4.03K0+0.266-1.093
SAO47173         270.7875000+48.46444444 6.21A2+0.029+0.015
SAO85706         271.1675000+23.94250000 6.34F0+0.011-0.057
SAO42083         271.5308333 -8.32388888 5.85B8-0.008-0.016
SAO42085         271.5633333 -4.75138888 5.77K1+0.141-0.032
SAO42084         271.5308333 -0.44666666 6.34G8-0.020-0.029
SAO03373         271.4304166+12.00388888 7.04A3-0.008+0.001
SAO28734         272.1254166-45.76722222 6.15B7-0.009-0.025
SAO45273         272.4900000-59.04000000 6.38K4-0.021-0.001
Iot Pav          272.6087500-62.00222222 5.49G0-0.087+0.223
SAO86302         271.7975000-21.44388888 6.28B0+0.004 0.000
SAO85718         271.3758333+21.64694444 6.15K3+0.015+0.009
SAO47193         271.1800000+40.08416666 6.52F7+0.030+0.025
98 Her           271.5079166+22.21888888 5.06M3-0.010-0.008
SAO86328         272.0208333-28.45722222 4.57G7+0.027-0.030
SAO47195         271.2533333+41.94666666 6.34F0-0.021+0.106
SAO66626         271.4566666+32.23055555 5.71K0+0.012-0.026
SAO61093         271.9516666-17.15416666 5.52K1-0.099+0.059
71 Oph           271.8266666 +8.73388888 4.64G8+0.011+0.032
72 Oph           271.8375000 +9.56388888 3.73A4-0.060+0.080
SAO09779         272.3433333-36.67250000 6.58B1-0.011-0.004
SAO86350         272.2254166-25.47250000 6.61B3+0.003+0.018
SAO57575         273.6004166-70.75138888 6.73B7-0.002-0.023
99 Her           271.7562500+30.56194444 5.04F7-0.094+0.071
SAO03406         271.9516666+13.07111111 6.63A2+0.016+0.008
SAO09794         272.4995833-32.71972222 6.43K0+0.001-0.149
SAO28774         272.7687500-47.51305555 6.07K1+0.007-0.029
103Omi Her       271.8858333+28.76250000 3.83B9+0.001+0.009
SAO09803         272.5237500-30.72861111 5.53K1+0.003-0.027
100 Her          271.9562500+26.10138888 5.86A3-0.006+0.033
100 Her          271.9562500+26.09750000 5.90A3-0.002+0.033
Eps Tel          272.8075000-45.95444444 4.53K0-0.017-0.037
SAO03414         272.1404166+14.28472222 6.37A5-0.005+0.004
SAO61125         272.4308333-13.93444444 6.39K0+0.016-0.003
SAO28778         272.7733333-41.35916666 5.86F2+0.032-0.035
102 Her          272.1895833+20.81444444 4.36B2-0.001-0.005
SAO09817         272.7300000-33.79972222 6.16B1-0.011+0.013
23Del UMi        263.0537500+86.58638888 4.36A1+0.009+0.056
SAO30751         271.7229166+50.82277777 6.29K0+0.002+0.096
SAO47237         271.8700000+43.46166666 5.00G8+0.002-0.060
SAO47233         271.7762500+49.71055555 6.32A2-0.002+0.022
SAO66666         272.0091666+36.40138888 5.48K2-0.095-0.183
101 Her          272.2204166+20.04527777 5.10A8+0.008-0.020
73 Oph           272.3908333 +3.99333333 5.73F2+0.038-0.007
SAO54179         273.5675000-63.68944444 6.47K4-0.033-0.051
SAO23198         272.4750000 +3.11972222 5.69F5+0.022-0.192
SAO61153         272.8116666-19.84222222 6.36A4-0.002-0.028
SAO66682         272.2925000+30.46944444 6.38K1+0.071+0.133
SAO23212         272.6679166 +3.32416666 5.51K2+0.021-0.003
11 Sgr           272.9308333-23.70111111 4.98K0+0.017-0.019
SAO86444         272.9925000-28.90138888 6.51B9+0.017-0.005
SAO03443         272.5362500+16.47666666 6.09B9-0.004-0.007
SAO28815         273.3025000-41.33611111 5.47B2-0.013-0.004
SAO54189         273.9204166-63.05555555 5.60K0-0.023-0.031
SAO66700         272.4062500+38.45750000 6.40K2-0.303-0.472
SAO66703         272.4958333+36.46638888 5.58G8+0.011+0.015
SAO54196         274.5037500-68.22916666 6.33B9-0.007-0.019
40 Dra           270.0141666+80.00083333 6.04F7+0.045+0.129
41 Dra           270.0383333+80.00416666 5.68F7+0.042+0.122
24 UMi           262.7000000+86.96805555 5.79A2+0.059+0.010
13Mu Sgr         273.4408333-21.05888888 3.86B8+0.002+0.001
SAO42159         273.2916666 -4.01166666 6.59A2+0.015+0.022
SAO66733         272.9379166+33.44694444 5.88A3+0.012+0.010
104 Her          272.9758333+31.40527777 4.97M3-0.013+0.030
14 Sgr           273.5662500-21.71305555 5.44K3-0.008-0.022
SAO30784         272.6316666+54.28666666 5.95K1+0.104+0.245
SAO28851         273.9695833-44.20666666 5.46G8+0.074+0.012
SAO45369         274.2812500-56.02333333 5.33B3-0.006-0.013
SAO85836         273.3187500+21.88027777 6.12K4+0.062+0.051
SAO45372         274.2537500-51.06833333 6.06B9-0.002-0.008
15 Sgr           273.8037500-20.72833333 5.38B0+0.003+0.003
16 Sgr           273.8037500-20.38805555 5.95O9-0.002+0.001
SAO47305         273.1775000+41.14694444 6.36K0-0.014-0.046
SAO61227         273.8783333-18.66138888 6.07A0+0.014+0.006
SAO66765         273.2700000+38.77361111 6.04B9-0.004+0.010
SAO17803         272.7795833+60.40944444 6.49A1-0.010 0.000
SAO54209         274.9175000-63.88694444 6.18F9+0.043-0.285
Phi Oct          275.9004166-75.04416666 5.47A0-0.006+0.030
SAO42185         273.9916666 -3.61750000 6.36A4+0.015+0.019
SAO85856         273.6833333+29.20722222 6.56F8+0.016-0.249
Eta Sgr          274.4066666-36.76166666 3.11M3-0.128-0.167
SAO09959         274.4004166-34.10722222 6.16B3-0.015-0.009
SAO23308         274.0233333 +2.37777777 6.01M4-0.003-0.015
SAO86594         274.3500000-28.65250000 6.19A5+0.004-0.027
SAO86593         274.3487500-28.28916666 6.40G0+0.134-0.156
SAO58796         277.3312500-80.23277777 5.95K2-0.037-0.062
SAO61260         274.2983333-17.37388888 5.75K4-0.003-0.015
SAO28895         274.6666666-42.28833333 6.30B0-0.007-0.004
SAO42189         274.2212500 -3.00722222 6.00G3+0.012-0.268
SAO61267         274.3687500-18.46333333 6.54O7-0.003 0.000
SAO86612         274.5133333-27.04250000 4.65K3+0.008+0.005
SAO42192         274.3508333 -9.75861111 6.31A8+0.009-0.056
SAO23320         274.2700000 +1.00583333 6.63F2-0.011-0.026
SAO47342         273.9116666+42.15944444 5.59B7+0.001 0.000
SAO86629         274.6737500-25.60472222 6.51K1-0.004-0.030
SAO47343         273.8858333+45.20944444 6.29G2-0.068-0.110
SAO61304         274.6804166-18.61944444 6.84B0+0.013+0.006
SAO30836         273.6712500+56.58833333 6.37F1-0.011+0.029
36 Dra           273.4741666+64.39722222 5.03F5+0.349+0.035
SAO03578         274.5120833+13.77694444 6.30B5-0.001-0.010
SAO03581         274.5320833+18.13138888 5.99B9-0.006-0.004
SAO47359         274.2783333+40.93666666 6.11G8-0.163+0.069
SAO85906         274.5320833+23.29666666 6.63K5+0.007-0.018
Xi Pav           275.8066666-61.49388888 4.36K4+0.001+0.003
SAO10017         275.2304166-37.48750000 6.45K2+0.011-0.008
SAO23353         274.7895833 +7.25972222 5.39K2-0.047+0.002
SAO61348         275.0366666-15.83166666 5.39K4+0.037-0.033
19Del Sgr        275.2487500-29.82805555 2.70K3+0.035-0.028
105 Her          274.7945833+24.44611111 5.27K3+0.009+0.006
SAO86699         275.3808333-24.91500000 6.25M5+0.007+0.008
SAO10048         275.5775000-38.65694444 5.10K4-0.033-0.028
SAO61376         275.3462500-18.86000000 5.75F8+0.011-0.009
SAO86704         275.5008333-28.43000000 6.16A3+0.014-0.001
37 Dra           273.8208333+68.75583333 5.95K1+0.015-0.061
74 Oph           275.2170833 +3.37722222 4.86G8 0.000+0.010
SAO85933         274.9670833+29.66611111 5.99K4 0.000-0.001
106 Her          275.0745833+21.96138888 4.95M1+0.017-0.056
58Eta Ser        275.3275000 -2.89888888 3.26K0-0.547-0.700
SAO10061         275.7212500-36.66944444 5.34Ap 0.000-0.018
SAO54237         276.3812500-63.02138888 6.14A3-0.007-0.099
1Kap Lyr         274.9654166+36.06444444 4.33K2-0.015+0.043
SAO23385         275.3687500 +5.43583333 6.13B3+0.013-0.004
SAO10075         275.8704166-36.23833333 5.55K0+0.017-0.006
SAO28982         276.0758333-44.11027777 5.25B2-0.002-0.021
108 Her          275.2379166+29.85888888 5.63A5+0.014+0.057
107 Her          275.2541666+28.87000000 5.12A7+0.005+0.050
SAO61412         275.7591666-10.21861111 6.33B9+0.024-0.007
20Eps Sgr        276.0429166-34.38472222 1.85B9-0.038-0.124
SAO30897         274.9837500+51.34777777 6.30K1-0.033-0.052
SAO61415         275.8008333-12.01472222 5.73B8-0.007-0.014
SAO85975         275.5362500+23.28527777 5.41M0+0.012+0.077
SAO03648         275.6470833+12.02888888 5.89A2+0.012-0.008
Zet Sct          275.9145833 -8.93416666 4.68G9+0.045+0.046
SAO03655         275.7041666+17.82666666 5.25K3+0.071+0.016
SAO47411         275.2795833+49.72555555 6.40K1-0.007+0.025
SAO03660         275.7620833+16.68805555 6.22K0-0.019-0.016
18 Sgr           276.2562500-30.75666666 5.60K0-0.123-0.072
SAO10119         276.3404166-35.99166666 6.15K0-0.033+0.013
SAO42274         276.0145833 -3.58333333 6.38F6-0.025-0.055
SAO47417         275.3862500+49.12166666 5.05M2-0.020+0.053
SAO42288         276.1754166 -7.07527777 6.31K0+0.134-0.004
SAO10135         276.4775000-33.94527777 6.30B5+0.002+0.006
SAO29021         276.7245833-48.11694444 5.46K0-0.007-0.042
109 Her          275.9245833+21.76972222 3.84K2+0.196-0.242
21 Sgr           276.3375000-20.54166666 4.81K2+0.006-0.025
Alp Tel          276.7433333-45.96833333 3.51B3-0.016-0.054
SAO42294         276.2375000 -1.57944444 6.15F6-0.017-0.010
SAO57601         278.2304166-73.96555555 5.89K0-0.002-0.090
SAO23453         276.2866666 +5.08472222 6.74B9-0.003+0.008
SAO66936         275.9891666+38.73916666 6.36K4+0.027+0.006
SAO23462         276.4116666 +8.03194444 5.65G8-0.002-0.006
2Mu Lyr          276.0575000+39.50722222 5.12A3-0.023-0.002
SAO86019         276.2437500+27.39527777 6.27A0+0.002+0.008
Zet Tel          277.2079166-49.07083333 4.13G8+0.144-0.242
SAO03709         276.4808333+14.96666666 6.37B9+0.012-0.006
SAO86838         276.9562500-29.81638888 5.92F9-0.003+0.032
SAO45510         277.4862500-57.52305555 5.76K0+0.051-0.025
SAO86837         276.9325000-26.63472222 6.31A8+0.003-0.025
SAO10197         277.1129166-38.99555555 5.64A2-0.002-0.038
SAO30943         275.9491666+53.30083333 6.32A3+0.008-0.015
SAO58804         280.5587500-81.80777777 6.27B8+0.001-0.006
22Lam Sgr        276.9925000-25.42166666 2.81K1-0.044-0.185
SAO86843         277.0258333-26.75722222 6.27A3 0.000-0.036
SAO29056         277.3037500-43.84583333 6.36G8-0.002+0.028
Nu Pav           277.8433333-62.27833333 4.64B7-0.003-0.045
SAO86043         276.4950000+29.82888888 5.83A2+0.026-0.022
59 Ser           276.8020833 +0.19611111 5.21G0-0.008-0.002
SAO61493         276.9854166-17.80000000 6.20B8-0.004+0.007
43Phi Dra        275.1895833+71.33777777 4.22A0-0.004+0.040
SAO10213         277.3200000-38.85111111 6.63B8-0.004-0.007
SAO29064         277.4825000-47.22027777 5.70K2+0.013-0.003
39 Dra           275.9770833+58.80055555 4.98A1-0.039+0.060
SAO86060         276.6704166+26.44944444 6.53B3-0.003 0.000
SAO23513         276.9595833 +3.74861111 6.07K3-0.005-0.005
SAO86863         277.2391666-26.58166666 6.5 A3+0.003+0.009
44Chi Dra        275.2641666+72.73277777 3.57F7+0.532-0.350
SAO23516         276.9950000 +6.19416666 5.73B8 0.000-0.024
SAO86873         277.3416666-25.25638888 6.59B2+0.004-0.001
Gam Sct          277.2995833-14.56583333 4.70A3+0.003-0.002
SAO29080         277.7625000-41.91361111 6.04A3 0.000-0.022
SAO61528         277.4450000-14.58166666 5.96B9+0.021+0.025
SAO61540         277.5495833-18.72888888 5.66K0+0.038-0.095
Del1Tel          277.9391666-45.91500000 4.96B6-0.008-0.032
60 Ser           277.4208333 -1.98527777 5.39K0+0.032-0.033
SAO10257         277.7700000-32.98916666 5.34A3-0.001-0.045
SAO29094         277.9841666-43.50777777 5.72K2-0.005-0.019
Del2Tel          278.0083333-45.75722222 5.07B3+0.004-0.008
SAO45547         278.3729166-58.70916666 6.44G5+0.027-0.124
SAO42353         277.5595833 -5.72416666 6.28G8+0.004-0.018
SAO23571         277.5212500 +4.06527777 6.69B2 0.000-0.009
SAO10277         278.0891666-39.70388888 5.16A3+0.036-0.040
SAO86115         277.3987500+23.86611111 5.90B6 0.000-0.007
SAO61564         277.8595833-18.40277777 5.14A0-0.003-0.025
42 Dra           276.4962500+65.56361111 4.82K1+0.105-0.023
SAO61569         277.8570833-10.79583333 5.72B2 0.000-0.015
SAO61571         277.9720833-19.12500000 6.68G1-0.009+0.001
SAO10286         278.2537500-39.89222222 6.22F5+0.086-0.086
SAO30990         276.9262500+59.54916666 6.43K0+0.052+0.045
SAO86142         277.6733333+20.81527777 6.50G8+0.011-0.258
The CrA          278.3758333-42.31250000 4.64G8+0.031-0.022
Kap1CrA          278.3470833-38.72027777 6.32A0+0.021-0.028
Kap2CrA          278.3462500-38.72611111 5.65B9-0.003-0.030
SAO45559         278.6300000-52.89194444 6.22K2-0.011-0.054
SAO03800         277.7683333+16.92861111 5.77A2-0.032-0.021
SAO61580         278.0866666-14.64416666 6.37A4+0.019-0.017
61 Ser           277.9875000 -1.00305555 5.94A4+0.010-0.006
SAO23610         278.0291666 +3.65972222 6.43A0+0.031+0.015
SAO61587         278.1804166-14.86555555 5.50K3-0.004+0.001
SAO10312         278.4908333-33.01666666 5.28B2+0.004-0.010
24 Sgr           278.4729166-24.03250000 5.49K4+0.002-0.010
SAO61605         278.4125000-14.85361111 5.76A2+0.025-0.013
SAO42386         278.3454166 -5.91138888 6.36A0+0.012-0.017
SAO58810         282.9912500-83.31638888 7.16K1-0.008-0.021
25 Sgr           278.6366666-24.22250000 6.51F3+0.001-0.001
SAO86175         278.1925000+23.61694444 5.84K5+0.010+0.016
SAO23634         278.3470833 +8.26833333 6.42B8+0.007-0.003
SAO67090         278.2079166+30.55416666 5.48B8+0.010+0.009
SAO87012         278.8387500-20.84083333 6.48F0+0.030-0.013
SAO61632         278.7600000-10.97722222 5.14G8+0.051-0.004
SAO67102         278.3462500+30.89250000 6.59B4+0.011+0.009
SAO87024         278.9987500-29.69916666 6.37K1+0.009-0.009
Alp Sct          278.8016666 -8.24416666 3.85K3-0.015-0.312
SAO31032         278.0475000+52.11555555 6.56B9-0.004+0.006
SAO86203         278.5816666+20.46638888 6.57A3+0.008-0.006
SAO03867         278.6979166+10.89166666 6.40A1+0.004-0.007
SAO03879         278.8025000+18.20333333 5.78A0+0.014+0.006
45 Dra           278.1437500+57.04555555 4.77F7+0.001-0.006
SAO17912         277.8116666+65.43611111 6.59A8-0.019+0.071
SAO86224         278.8766666+23.60555555 5.61G9+0.004+0.005
SAO03886         278.9716666+16.97555555 6.21G2+0.049-0.068
Zet Pav          280.7587500-71.42805555 4.01K0-0.005-0.156
SAO31051         278.4862500+52.35361111 5.36K0-0.002+0.008
SAO67134         278.8062500+34.45777777 6.10B5+0.006+0.003
SAO23690         279.1158333 +9.12250000 5.39F5-0.002-0.129
SAO29165         279.8095833-47.90972222 5.86A7+0.028+0.015
SAO23693         279.1629166 +6.67194444 5.45F3-0.025-0.141
SAO87071         279.4766666-21.39777777 5.94A8 0.000-0.067
SAO61687         279.5191666-14.00472222 6.47B9+0.019+0.002
SAO87080         279.6279166-23.50500000 5.81B8-0.003-0.020
SAO29172         279.8958333-43.18611111 5.37M2-0.052-0.052
SAO03912         279.3025000+11.42166666 6.42B9-0.021-0.011
SAO42444         279.4000000 -0.30944444 5.75A1+0.016-0.019
SAO57625         281.9558333-77.86722222 6.39F8-0.022+0.188
SAO03913         279.2875000+16.19833333 6.29G8+0.010+0.047
SAO54343         280.5937500-64.64305555 6.37A5-0.009-0.032
SAO67164         279.1550000+33.46888888 5.42B8-0.019 0.000
SAO87086         279.7225000-21.05194444 5.86G4-0.078-0.152
SAO42461         279.5987500 -3.19361111 6.49F9-0.009+0.032
SAO42460         279.5795833 -1.11333333 6.66F1-0.027-0.012
3Alp Lyr         279.2345833+38.78361111 0.03A0+0.202+0.286
SAO23744         279.5875000 +8.83388888 6.4 M6-0.014+0.006
SAO47644         279.1900000+43.22194444 6.20F0+0.023-0.006
SAO54353         280.9050000-64.55111111 5.78K0+0.003-0.036
SAO29194         280.3775000-48.09500000 6.49K2-0.025-0.122
SAO9151          277.4370833+77.54694444 5.64K4-0.001+0.001
SAO42480         280.0020833 -7.79055555 5.84K4+0.004-0.032
SAO23778         279.9037500 +5.26416666 6.38F8+0.006+0.001
SAO67193         279.5270833+39.66805555 6.04M4+0.006+0.006
SAO23782         279.9650000 +7.35833333 6.28G8+0.007-0.056
26 Sgr           280.4650000-23.83333333 6.23Am+0.032-0.024
SAO54358         281.3620833-64.87138888 4.79A5+0.027-0.149
SAO17947         279.0554166+65.48861111 6.06F0+0.019+0.083
SAO61730         280.4270833-14.56416666 6.42F2+0.006+0.001
SAO54359         281.2979166-61.09500000 6.04K3+0.023-0.023
SAO67226         280.0083333+30.84944444 6.36K0-0.005+0.032
SAO47676         279.8879166+40.93500000 6.25B9+0.027-0.002
SAO17958         279.3895833+62.52666666 5.74A0-0.005+0.051
SAO67233         280.0508333+38.36722222 6.45A6+0.026+0.001
Del Sct          280.5683333 -9.05250000 4.72F2+0.009+0.002
Lam CrA          280.9454166-38.32361111 5.13A2+0.003-0.057
SAO45681         281.3487500-56.88166666 6.22K3-0.054-0.007
SAO61754         280.7300000-19.28388888 6.35M4-0.001-0.024
SAO42525         280.6504166 -7.07333333 6.15K0-0.003+0.005
SAO3056          276.0383333+83.17527777 6.17A2+0.015-0.027
SAO10507         281.0320833-36.71861111 6.32K0 0.000-0.060
SAO57630         282.4312500-72.99472222 6.06B9-0.004+0.024
SAO31093         279.9700000+52.19611111 6.00A0+0.004+0.028
SAO10509         281.0808333-35.64194444 4.87B2 0.000-0.031
SAO67256         280.4220833+31.61777777 6.41B8+0.008+0.009
SAO10518         281.2383333-39.68638888 5.43K3+0.008-0.011
Eps Sct          280.8804166 -8.27527777 4.90G8+0.022+0.008
SAO67265         280.5337500+34.74666666 6.47B5+0.010+0.008
SAO42557         280.9641666 -6.81861111 6.31F7+0.048-0.055
SAO87216         281.2066666-25.01111111 5.83B5+0.005-0.022
The Pav          282.1575000-65.07777777 5.73A8-0.045-0.083
SAO45702         281.7462500-50.09444444 6.54F0-0.001-0.034
SAO87234         281.3279166-21.00138888 6.36F5+0.027-0.019
27Phi Sgr        281.4141666-26.99083333 3.17B8+0.053 0.000
4 Aql            281.2079166 +2.06000000 5.02B9+0.009-0.018
SAO67287         280.8195833+39.30027777 6.45K5+0.016-0.002
SAO17975         280.2345833+62.74972222 6.09K0 0.000+0.061
SAO67292         280.9004166+36.55666666 6.01G8+0.024+0.065
SAO67293         280.9650000+31.92666666 5.70F1-0.033-0.129
SAO61803         281.5050000-19.60638888 6.42M4-0.002+0.004
28 Sgr           281.5858333-22.39222222 5.37K4+0.031 0.000
SAO86393         281.1675000+23.58972222 6.31F6+0.009-0.087
SAO23886         281.3683333 +5.49972222 5.83A1+0.015-0.011
46 Dra           280.6579166+55.53944444 5.04B9-0.002+0.024
Mu CrA           281.9358333-40.40611111 5.24G5+0.030-0.017
4Eps1Lyr         281.0850000+39.67000000 5.06A4+0.017+0.059
4Eps1Lyr         281.0845833+39.67111111 6.02F1+0.003+0.059
5Eps2Lyr         281.0954166+39.61305555 5.14A8+0.008+0.064
5Eps2Lyr         281.0954166+39.61277777 5.37F0+0.007+0.064
SAO61817         281.6804166-10.12500000 5.71F2-0.005+0.002
6Zet1Lyr         281.1933333+37.60500000 4.36A4+0.028+0.024
7Zet2Lyr         281.2008333+37.59444444 5.73F0+0.022+0.019
SAO86405         281.3987500+21.98500000 6.51B9+0.015+0.012
5 Aql            281.6187500 -0.96166666 5.90A2+0.013-0.022
SAO31133         280.8708333+53.87194444 6.11A2+0.006-0.008
110 Her          281.4154166+20.54638888 4.19F6-0.008-0.335
Eta1CrA          282.2104166-43.68000000 5.49A3+0.025-0.019
Bet Sct          281.7937500 -4.74777777 4.22G4-0.004-0.016
SAO86418         281.5187500+26.66222222 4.83K3+0.018+0.024
SAO29306         282.3641666-45.81027777 5.81G8+0.076+0.051
SAO42620         281.8708333 -5.70500000 5.20K0-0.041-0.028
SAO04087         281.6725000+18.70583333 6.17K5+0.028-0.022
